# ['M2', 'S2', 'N2', 'K2', 'K1', 'O1', 'P1', 'M4']info horaria con inicio08/11/202200:00
5.662868467229810188e-01,6.283185307141906151e+00,2.317755467519410084e-01,4.650838590486323199e+00,3.901207846714986438e+00,-3.292369128588279459e+00,2.278546023669106191e+00,1.132573693445962038e+00
1.072155860052466547e+00,5.235987756955822192e-01,7.281434286157683067e-01,5.175879056934800104e+00,4.163728017643948398e+00,-3.049022063227119439e+00,2.539628628551483747e+00,2.144311720104933094e+00
1.578024873086139479e+00,1.047197551079598554e+00,1.224511310189830837e+00,5.700919523296605007e+00,4.426248188507194925e+00,-2.805674998123854902e+00,2.800711233259619348e+00,3.156049746172278958e+00
2.083893886500140624e+00,1.570796326812860855e+00,1.720879192138171865e+00,6.225959990272270872e+00,4.688768359654991613e+00,-2.562327932952610965e+00,3.061793838141742885e+00,4.167787773000281248e+00
2.589762899955636577e+00,2.094395102546123155e+00,2.217247074128010809e+00,4.678151503311589465e-01,4.951288530911813979e+00,-2.318980867876694774e+00,3.322876443024120885e+00,5.179525799911273154e+00
3.095631913115317602e+00,2.617993877930139490e+00,2.713614955828079545e+00,9.928556174829292758e-01,5.213808702102907588e+00,-2.075633803058654969e+00,3.583959047732256487e+00,6.191263826230635203e+00
3.601500926655067936e+00,3.141592653663401791e+00,3.209982837902155772e+00,1.517896085248267468e+00,5.476328873578407475e+00,-1.832286738172746787e+00,3.845041652614507033e+00,9.198165461305496393e-01
4.107369940007544074e+00,3.665191429163833448e+00,3.706350719790987736e+00,2.042936553043544379e+00,5.738849045046501729e+00,-1.588939673494496940e+00,4.106124257380596276e+00,1.931554572835501915e+00
4.613238953406078480e+00,4.188790204664265104e+00,4.202718601727893244e+00,2.567977021102095136e+00,6.001369216623857028e+00,-1.345592608907238530e+00,4.367206862146685964e+00,2.943292599632570727e+00
5.119107967071819587e+00,4.712388980397527405e+00,4.699086483927960245e+00,3.093017489657245989e+00,6.263889388427137384e+00,-1.102245544306486913e+00,4.628289467028936954e+00,3.955030626964052942e+00
5.624976980666695603e+00,5.235987756014374384e+00,5.195454366059196083e+00,3.618057958358722459e+00,2.432242531016211018e-01,-8.588984798551722033e-01,4.889372071853233415e+00,4.966768654153804974e+00
6.130845994190958770e+00,5.759586531514806040e+00,5.691822248121829908e+00,4.143098427206755474e+00,5.057444250065969982e-01,-6.155514155531629505e-01,5.150454676619450112e+00,5.978506681202331308e+00
-5.929655606372683962e+00,6.848210887255845591e-11,-9.499517672586943462e-02,4.668138896551356609e+00,7.682645971374838512e-01,-3.722043512335773130e-01,-8.716480256777585645e-01,-5.576125905565781693e+00
-5.423786592655390315e+00,5.235987756853290875e-01,-5.881812601653837014e+00,5.193179366043007228e+00,1.030784769319524230e+00,-1.288572870711632845e-01,-6.105654208537156791e-01,-4.564387878131194398e+00
-4.917917579005157691e+00,1.047197551185760744e+00,-5.385444719465247942e+00,5.718219835680672603e+00,1.293304941552201992e+00,-6.168695530233811120e+00,-3.494828160874994261e-01,-3.552649850830729150e+00
-4.412048565200077377e+00,1.570796326802607723e+00,-4.889076837123795372e+00,6.243260305698453472e+00,1.555825113952567396e+00,-5.925348466257490010e+00,-8.840021126332953116e-02,-2.540911823220568522e+00
-3.906179551357077617e+00,2.094395102419454702e+00,-4.392708954746486150e+00,4.851154687998153747e-01,1.818345286462147214e+00,-5.682001402380239874e+00,1.726823935608408078e-01,-1.529173795534569003e+00
-3.400310537580888415e+00,2.617993877919886359e+00,-3.896341072431936503e+00,1.010155939227001198e+00,2.080865459022477992e+00,-5.438654338648322373e+00,4.337649983270570608e-01,-5.174357679821905975e-01
-2.894441523533186178e+00,3.141592653653148659e+00,-3.399973189847862898e+00,1.535196410150931889e+00,2.343385631808813763e+00,-5.195307274898670613e+00,6.948476032093076071e-01,-5.788883047066372356e+00
-2.388572509564236057e+00,3.665191429269995638e+00,-2.903605307344604647e+00,2.060236881221326755e+00,2.605905804646015067e+00,-4.951960211306404958e+00,9.559302080334775020e-01,-4.777145019128472114e+00
-1.882703495662104043e+00,4.188790204770427295e+00,-2.407237424904097534e+00,2.585277352437918452e+00,2.868425977533948235e+00,-4.708613147859458614e+00,1.217012812799694199e+00,-3.765406991324208086e+00
-1.376834481601323157e+00,4.712388980387274273e+00,-1.910869542304945101e+00,3.110317824034295242e+00,3.130946150589409172e+00,-4.465266084449156736e+00,1.478095417623991104e+00,-2.753668963202646314e+00
-8.709654673938326264e-01,5.235987756120536574e+00,-1.414501659565178482e+00,3.635358296010695156e+00,3.393466323812517782e+00,-4.221919021087556345e+00,1.739178022506241650e+00,-1.741930934787665253e+00
-3.650964534819298724e-01,5.759586531504552909e+00,-9.181337771149167271e-01,4.160398767900421291e+00,3.655986496969926058e+00,-3.978571957983609408e+00,2.000260627214123232e+00,-7.301929069638597447e-01
1.407725607047763949e-01,6.283185307121399887e+00,-4.217658943898238144e-01,4.685439240286052964e+00,3.918506670352924104e+00,-3.735224894858208078e+00,2.261343232038420581e+00,2.815451214095527899e-01
6.466415750379352900e-01,5.235987756750759559e-01,7.460198847562793389e-02,5.210479713051421768e+00,4.181026843903428158e+00,-3.491877831781619701e+00,2.522425836920798137e+00,1.293283150075870580e+00
1.152510589192171420e+00,1.047197551175507613e+00,5.709698711682222871e-01,5.735520185846748831e+00,4.443547017446551450e+00,-3.248530768904331900e+00,2.783508441686887380e+00,2.305021178384342839e+00
1.658379603504792410e+00,1.570796326792354591e+00,1.067337754019218377e+00,6.260560659021530583e+00,4.706067191157040419e+00,-3.005183706063781823e+00,3.044591046511184285e+00,3.316759207009584820e+00
2.164248617968177690e+00,2.094395102525616892e+00,1.563705637016926664e+00,5.024158253966746202e-01,4.968587365035144643e+00,-2.761836643267836067e+00,3.305673651393434831e+00,4.328497235936355381e+00
2.670117632244255468e+00,2.617993878026048549e+00,2.060073519829328959e+00,1.027456298981075378e+00,5.231107538905725107e+00,-2.518489580679426076e+00,3.566756256159524519e+00,5.340235264488510936e+00
3.175986646682777970e+00,3.141592653642895527e+00,2.556441402806226559e+00,1.552496772944895298e+00,5.493627712943657038e+00,-2.275142518123674407e+00,3.827838860983821423e+00,6.878798618596970726e-02
3.681855661155390091e+00,3.665191429259742506e+00,3.052809285813161022e+00,2.077537247171953538e+00,5.756147887090851789e+00,-2.031795455670846184e+00,4.088921465807991318e+00,1.080526015131193951e+00
4.187724675557106480e+00,4.188790204760174163e+00,3.549177168751202593e+00,2.602577721545063838e+00,6.018668061288715343e+00,-1.788448393367329192e+00,4.350004070574208015e+00,2.092264043934626727e+00
4.693593690117960904e+00,4.712388980377021142e+00,4.045545051848399076e+00,3.127618196298312725e+00,6.281188235654292740e+00,-1.545101331100134479e+00,4.611086675398251344e+00,3.104002073056335576e+00
5.199462704836936844e+00,5.235987756110283442e+00,4.541912935103733062e+00,3.652658671430678794e+00,2.605231030074870446e-01,-1.301754268869765641e+00,4.872169280280628456e+00,4.115740102494287456e+00
5.705331719251928391e+00,5.759586531494299777e+00,5.038280818057065957e+00,4.177699146475966074e+00,5.230432774743745128e-01,-1.058407206905230602e+00,5.133251884988764502e+00,5.127478131324270549e+00
-7.198457312857531321e-02,4.797584551852196455e-11,-7.485366057891136293e-01,4.702739622134448183e+00,7.855634522255057206e-01,-8.150601448685890205e-01,-8.888508173085716280e-01,-1.439691462571506264e-01
-5.849300865463060717e+00,5.235987757812381460e-01,-2.521687224076547551e-01,5.227780098055842650e+00,1.048083627085740543e+00,-5.717130829227725641e-01,-6.277682124263206376e-01,-5.415416423746535202e+00
-5.343431850922204518e+00,1.047197551165254481e+00,-6.038986146508059427e+00,5.752820573889869671e+00,1.310603801879940189e+00,-3.283660212428998193e-01,-3.666856077181850360e-01,-4.403678394664822804e+00
-4.837562836113675324e+00,1.570796326782101460e+00,-5.542618263165205228e+00,6.277861050220638006e+00,1.573123976900159260e+00,-8.501895954911198316e-02,-1.056030028941417065e-01,-3.391940365047764416e+00
-4.331693821255574228e+00,2.094395102398948438e+00,-5.046250379768731698e+00,5.197162196341880147e-01,1.835644152029212384e+00,-6.124857205121906567e+00,1.554796019301547538e-01,-2.380202335331562224e+00
-3.825824806476259443e+00,2.617993877899380095e+00,-4.549882496453092173e+00,1.044756696373515759e+00,2.098164327209011137e+00,-5.881510143672376678e+00,4.165622066963714509e-01,-1.368464305772932654e+00
-3.319955791425718505e+00,3.141592653632642396e+00,-4.053514612868243105e+00,1.569797173609035035e+00,2.360684502614557978e+00,-5.638163082205101873e+00,6.776448115787490067e-01,-3.567262756718507788e-01
-2.814086776441266036e+00,3.665191429249489374e+00,-3.557146729345415981e+00,2.094837650991228983e+00,2.623204678071094254e+00,-5.394816020882632124e+00,9.387274164027923362e-01,-5.628173552882532071e+00
-2.308217761536107915e+00,4.188790204749921031e+00,-3.060778845903946888e+00,2.619878128519076199e+00,2.885724853578108817e+00,-5.151468959717663054e+00,1.199810021169008145e+00,-4.616435523072215830e+00
-1.802348746359732745e+00,4.712388980483183332e+00,-2.564410962193249155e+00,3.144918606543075867e+00,3.148245029310854370e+00,-4.908121898534933081e+00,1.460892626051386145e+00,-3.604697492719465490e+00
-1.296479731366115828e+00,5.235987755983614989e+00,-2.068043078661261802e+00,3.669959084597048005e+00,3.410765205036240033e+00,-4.664774837555324183e+00,1.721975230817348379e+00,-2.592959462732231657e+00
-7.906107163351286937e-01,5.759586531484046645e+00,-1.571675195093961808e+00,4.194999562913295676e+00,3.673285380870419115e+00,-4.421427776674861754e+00,1.983057835583564632e+00,-1.581221432670257387e+00
